iteration,compliance,occupancy_volume,printed_voxels,achieved_vf,offset_mm,dt_mm_per_unit_v,max_abs_v,lambda,cg_iterations,converged,used_multigrid,solve_ms,sensitivity_ms,band_cells,hilb_iterations,hilb_relres,reinit_rms,reinit_max,hj_steps,gamma,kappa_rms,perim_weight,interface_area_mm2,robust_worst,robust_ratio,nuc_frozen,diffusion_energy,diffusion_ratio,void_components,euler_chi,cavities,tunnels,mono_violations,mono_reverts,mono_repaired_voxels,new_components,split_delta,renuc_events,renuc_voxels,frac_cut_cells,frac_area_mm2,frac_build_ms,frac_sens_ms,iteration_wall_s
57,0.0035386628594,58590,58590,0.528294741398,-0.00353203981215,0.0483362901927,6.03124981976e-11,3.09682156002e-11,2739,1,0,24887.1282501,13.3810420036,8838,0,0,0.285768237168,0.998124505012,0,0.1,0.239855649356,1,12898.1489836,1,1,0,0,0,4,-5,0,9,17,0,0,1,0,0,0,0,0,0,0,25.104431666
58,0.00353696725993,58591,58591,0.528303758205,0.00199721849072,0.0483362901927,7.60325900477e-11,3.09306833051e-11,2738,1,0,23211.3196673,12.1264166832,9067,0,0,0.281815521362,0.998124505012,0,0.1,0.239229800276,1,12949.2644187,1,1,0,0,0,4,-6,0,10,17,0,0,0,0,0,0,0,0,0,0,23.3626836673
59,0.00352832435931,58590,58590,0.528294741398,-0.00384863167934,0.0483362901927,8.26054145184e-11,3.06319378845e-11,2741,1,0,23170.4894156,12.6604170799,9276,0,0,0.2908740553,0.998124505012,0,0.1,0.240014151343,1,13017.5671746,1,1,0,0,0,6,-3,0,9,17,0,0,0,2,0,0,0,0,0,0,23.325981833
60,0.00352810889781,58590,58590,0.528294741398,0.00227411228345,0.0483362901927,7.90998544345e-11,3.0700083339e-11,2741,1,0,23446.7615838,12.054500103,9570,0,0,0.280907728123,0.999512368068,0,0.1,0.242069240017,1,13049.6182681,1,1,0,0,0,2,-6,0,8,17,0,0,0,-4,0,0,0,0,0,0,39.9779823753
61,0.00353347062809,58590,58590,0.528294741398,-0.00293145891763,0.0483362901927,6.05765050653e-11,3.0874744055e-11,2743,1,0,23003.4559579,12.1810832024,8750,0,0,0.287156154424,0.999512368068,0,0.1,0.234016028605,1,12992.0878618,1,1,0,0,0,6,-1,0,7,17,0,0,0,4,0,0,0,0,0,0,23.1641677497
62,0.00352865939009,58590,58590,0.528294741398,0.000245855829349,0.0483362901927,6.52931388442e-11,3.08172675964e-11,2742,1,0,23918.2440829,12.1550002098,8917,0,0,0.286782858098,0.999512368068,0,0.1,0.234665193731,1,13039.2001974,1,1,0,0,0,2,-7,0,9,17,0,0,0,-4,0,0,0,0,0,0,24.0721902503
63,0.00352236209757,58591,58591,0.528303758205,-0.00192429169055,0.0483362901927,7.56422247842e-11,3.05660214072e-11,2745,1,0,23260.3721671,12.5708751678,9111,0,0,0.290992126288,0.999512368068,0,0.1,0.233826698871,1,13102.4208467,1,1,0,0,0,6,-2,0,8,17,0,0,0,4,0,0,0,0,0,0,23.4108798332
64,0.00351752605943,58591,58591,0.528303758205,-0.000572126527867,0.0483362901927,7.72163532512e-11,3.04259343298e-11,2746,1,0,23345.9292498,12.499792099,9386,0,0,0.293117428347,0.999512368068,0,0.1,0.235257036468,1,13155.9241298,1,1,0,0,0,2,-8,0,10,17,0,0,0,-4,0,0,0,0,0,0,23.5030984171
65,0.00351473363108,58591,58591,0.528303758205,-0.000318551592934,0.0483362901927,7.23280749024e-11,3.03203054866e-11,2748,1,0,22112.2468343,11.782916069,9611,0,0,0.284286762702,0.998524447817,0,0.1,0.237282325869,1,13187.4165567,1,1,0,0,0,6,-3,0,9,17,0,0,0,4,0,0,0,0,0,0,34.9734520419
66,0.00352991079306,58590,58590,0.528294741398,0.0050980192459,0.0483362901927,6.77428600455e-11,3.09836657654e-11,2750,1,0,18774.4994998,11.9693331718,8883,0,0,0.272368830487,0.998524447817,0,0.1,0.230937064078,1,13118.9682152,1,1,0,0,0,2,-8,0,10,17,0,0,0,-4,0,0,0,0,0,0,18.9171981248
67,0.0035207537064,58590,58590,0.528294741398,-0.00346802617522,0.0483362901927,6.02547318222e-11,3.06231720522e-11,2752,1,0,18817.0253749,12.3427500725,9033,0,0,0.280991174856,0.998524447817,0,0.1,0.231252858252,1,13183.1920946,1,1,0,0,0,6,-3,0,9,17,0,0,0,4,0,0,0,0,0,0,18.959856458
68,0.00351763752395,58590,58590,0.528294741398,0.000495145800865,0.0483362901927,5.05108268612e-11,3.05853750311e-11,2754,1,0,19104.835875,12.4297919273,9235,0,0,0.28025037531,0.998524447817,0,0.1,0.23140012588,1,13223.1987027,1,1,0,0,0,2,-7,0,9,17,0,0,0,-4,0,0,0,0,0,0,19.251316417
69,0.00351339998641,58590,58590,0.528294741398,-0.000756093460211,0.0483362901927,4.18292204149e-11,3.03906678258e-11,2757,1,0,18839.875834,11.9987912178,9454,0,0,0.282796499273,0.998524447817,0,0.1,0.231687543645,1,13271.5227327,1,1,0,0,0,6,-3,0,9,17,0,0,0,4,0,0,0,0,0,0,18.9852182497
70,0.00351109426418,58591,58591,0.528303758205,0.000453955967658,0.0483362901927,4.75825189926e-11,3.0395821577e-11,2760,1,0,18899.44175,12.1382079124,9706,0,0,0.278830638304,0.998506274661,0,0.1,0.232798448722,1,13310.484205,1,1,0,0,0,2,-7,0,9,17,0,0,0,-4,0,0,0,0,0,0,32.5292720841
71,0.00352224795334,58591,58591,0.528303758205,0.00152319268736,0.0483362901927,5.35635254352e-11,3.09003330281e-11,2759,1,0,22700.2277498,12.5415420532,8929,0,0,0.275540334934,0.998506274661,0,0.1,0.228056548549,1,13232.2259739,1,1,0,0,0,5,-4,0,9,17,0,0,0,3,0,0,0,0,0,0,22.8628059579
72,0.00351486621088,58591,58591,0.528303758205,-0.00205189390398,0.0483362901927,6.01650625975e-11,3.05852957247e-11,2761,1,0,25693.1906662,12.0460000038,9049,0,0,0.280105242379,0.998506274661,0,0.1,0.227614416231,1,13292.3430699,1,1,0,0,0,3,-7,0,10,18,0,0,1,-3,0,0,0,0,0,0,25.8423412917
