posture,rung,iter,penalty,beta,cg,carried_mg,hier_built,cycles,compliance,change,achieved_vf
S2 Peetz values 1it-per-val,0,38,4.0000,1.0000,24,1,1,24,10.8846613775,0.148947179147,0.0594796099
S2 Peetz values 1it-per-val,0,39,4.0000,1.0000,25,1,1,25,10.8035621456,0.138759068636,0.0594851881
S2 Peetz values 1it-per-val,0,40,4.0000,1.0000,31,1,1,31,10.7493141088,0.170624107523,0.0594871375
S2 Peetz values 1it-per-val,1,1,1.0000,0.0000,45,1,1,45,16.0729559042,0.1998,0.030195734
S2 Peetz values 1it-per-val,1,2,1.2500,0.0000,58,1,1,58,190.249008252,0.1998,0.0283601219
S2 Peetz values 1it-per-val,1,3,1.5000,0.0000,116,1,1,116,825.358861154,0.1998,0.024038339
S2 Peetz values 1it-per-val,1,4,1.7500,0.0000,124,1,1,124,75823.1750178,0.1998,0.0215224826
S2 Peetz values 1it-per-val,1,5,2.0000,0.0000,67,1,1,67,47984.3682628,0.1998,0.0222662655
S2 Peetz values 1it-per-val,1,6,2.2500,0.0000,239,0,1,300,2695281.21739,0.1998,0.0126969234
S2 Peetz values 1it-per-val,1,7,2.5000,0.0000,54,1,1,54,1891265.99268,0.1998,0.0261342527
S2 Peetz values 1it-per-val,1,8,2.7500,0.0000,113,1,1,113,213997.602211,0.1998,0.0125730789
S2 Peetz values 1it-per-val,1,9,3.0000,0.0000,66,1,1,66,41083138.8342,0.1998,0.0265806717
S2 Peetz values 1it-per-val,1,10,3.2500,0.0000,206,1,1,206,7786453.17369,0.1998,0.0113414426
S2 Peetz values 1it-per-val,1,11,3.5000,0.0000,59,1,1,59,711325613.308,0.1998,0.0272188536
S2 Peetz values 1it-per-val,1,12,3.7500,0.0000,214,1,1,214,18107748.8204,0.174551188794,0.0119146717
S2 Peetz values 1it-per-val,1,13,4.0000,0.0000,107,1,1,107,18612135.2569,0.1998,0.0243556801
S2 Peetz values 1it-per-val,1,14,4.0000,0.0000,144,1,1,144,689273.323672,0.1998,0.0213081015
S2 Peetz values 1it-per-val,1,15,4.0000,0.0000,40,1,1,40,118743.55445,0.10816497433,0.0292968167
S2 Peetz values 1it-per-val,1,16,4.0000,0.0000,45,1,1,45,32941.5706337,0.10861133104,0.0357763163
S2 Peetz values 1it-per-val,1,17,4.0000,0.0000,46,1,1,46,12850.8681604,0.0977074748905,0.0398278737
S2 Peetz values 1it-per-val,1,18,4.0000,0.0000,45,1,1,45,6537.73178123,0.0780716135396,0.0416666707
S2 Peetz values 1it-per-val,1,19,4.0000,0.0000,46,1,1,46,4058.47400296,0.0613431642968,0.042302815
S2 Peetz values 1it-per-val,1,20,4.0000,0.0000,48,1,1,48,2814.25025808,0.0672772485057,0.0424713192
S2 Peetz values 1it-per-val,1,21,1.0000,1.0000,31,1,1,31,6.97853239503,0.1998,0.0398170016
S2 Peetz values 1it-per-val,1,22,1.2500,1.0000,34,1,1,34,23.0484048946,0.1998,0.0349598143
S2 Peetz values 1it-per-val,1,23,1.5000,1.0000,79,1,1,79,1170.7493558,0.1998,0.0285400573
S2 Peetz values 1it-per-val,1,24,1.7500,1.0000,141,1,1,141,10814.0022056,0.1998,0.0283261085
S2 Peetz values 1it-per-val,1,25,2.0000,1.0000,109,1,1,109,43332.9943464,0.1998,0.026580927
S2 Peetz values 1it-per-val,1,26,2.2500,1.0000,294,1,1,294,415081.072476,0.1998,0.0226299779
S2 Peetz values 1it-per-val,1,27,2.5000,1.0000,120,1,1,120,625406.956515,0.1998,0.025718478
S2 Peetz values 1it-per-val,1,28,2.7500,1.0000,293,1,1,293,2014792.01275,0.1998,0.025358908
S2 Peetz values 1it-per-val,1,29,3.0000,1.0000,197,1,1,197,4315998.42996,0.1998,0.0210029675
S2 Peetz values 1it-per-val,1,30,3.2500,1.0000,101,1,1,101,1062783.9148,0.1998,0.0259305065
S2 Peetz values 1it-per-val,1,31,3.5000,1.0000,159,1,1,159,255824.609904,0.1998,0.0219815784
S2 Peetz values 1it-per-val,1,32,3.7500,1.0000,88,1,1,88,36714.2258156,0.1998,0.0297807481
S2 Peetz values 1it-per-val,1,33,4.0000,1.0000,26,1,1,26,16092.1985182,0.197395939142,0.0374474837
S2 Peetz values 1it-per-val,1,34,4.0000,1.0000,24,1,1,24,5072.06825204,0.185531353049,0.0423482381
S2 Peetz values 1it-per-val,1,35,4.0000,1.0000,25,1,1,25,2132.54992108,0.1998,0.0447798483
S2 Peetz values 1it-per-val,1,36,4.0000,1.0000,23,1,1,23,1122.77326132,0.181785110066,0.0456338846
S2 Peetz values 1it-per-val,1,37,4.0000,1.0000,25,1,1,25,686.839905749,0.1998,0.0457829352
