SIMP penalization-continuation probe — big stagnation fixture, 20-iteration rung budget, margin_stop 1.5, ladder 0.68 0.52 0.38
part 24x6x24 @ 1.00 mm; design box [-4.2 -4.5 -4.2]-[28.2 10.6 28.2] (pad scale 0.35) gives the dilute regime the V-cycle stagnates on.
EXPECTED, stated before the numbers: with p ramped from 1, the early high-contrast solves are softer, so the multigrid V-cycle should carry MORE early iterations -> FEWER stagnating iterations and (if the CG saved exceeds the ramp's cost) less wall. The design WILL differ; the certified compliance is the test of whether it is better.

### S0 OFF (shipped p=3) — schedule: (empty = OFF, constant p = 3)

===== S0 OFF (shipped p=3) =====
 rung iter |    p  | beta |    CG | carried | built | cycles | compliance
    1   39 |  1.00 |  2.0 |    34 |   MG    |   Y   |     34 | 10.7678
    1   40 |  1.00 |  2.0 |    42 |   MG    |   Y   |     42 | 6.57918

### S2 Peetz values, 1 it/val — schedule: 1.00x1 1.25x1 1.50x1 1.75x1 2.00x1 2.25x1 2.50x1 2.75x1 3.00x1 3.25x1 3.50x1 3.75x1 4.00x1  (last value HELD past the end)

===== S2 Peetz values, 1 it/val =====
 rung iter |    p  | beta |    CG | carried | built | cycles | compliance
    0    1 |  1.00 |  0.0 |    45 |   MG    |   Y   |     45 | 12.1398
    0    2 |  1.25 |  0.0 |    40 |   MG    |   Y   |     40 | 129.425
    0    3 |  1.50 |  0.0 |   111 |   MG    |   Y   |    111 | 776.026
    0    4 |  1.75 |  0.0 |   144 |   MG    |   Y   |    144 | 87051.4
    0    5 |  2.00 |  0.0 |    68 |   MG    |   Y   |     68 | 38541.8
    0    6 |  2.25 |  0.0 |   781 |   Jc    |   Y   |    300 | 2.96066e+06
    0    7 |  2.50 |  0.0 |    55 |   MG    |   Y   |     55 | 1.23046e+06
    0    8 |  2.75 |  0.0 |   172 |   MG    |   Y   |    172 | 179427
    0    9 |  3.00 |  0.0 |   127 |   MG    |   Y   |    127 | 2.19036e+07
    0   10 |  3.25 |  0.0 |   957 |   Jc    |   Y   |    300 | 7.74238e+06
    0   11 |  3.50 |  0.0 |   212 |   MG    |   Y   |    212 | 5.15298e+06
    0   12 |  3.75 |  0.0 |   165 |   MG    |   Y   |    165 | 1.00486e+06
    0   13 |  4.00 |  0.0 |   120 |   MG    |   Y   |    120 | 146883
    0   14 |  4.00 |  0.0 |    40 |   MG    |   Y   |     40 | 36894
    0   15 |  4.00 |  0.0 |    58 |   MG    |   Y   |     58 | 11140.9
    0   16 |  4.00 |  0.0 |    54 |   MG    |   Y   |     54 | 4306.27
    0   17 |  4.00 |  0.0 |    49 |   MG    |   Y   |     49 | 2117.03
    0   18 |  4.00 |  0.0 |    48 |   MG    |   Y   |     48 | 1252.33
    0   19 |  4.00 |  0.0 |    48 |   MG    |   Y   |     48 | 821.198
    0   20 |  4.00 |  0.0 |    47 |   MG    |   Y   |     47 | 562.948
    0   21 |  1.00 |  1.0 |    32 |   MG    |   Y   |     32 | 4.7652
    0   22 |  1.25 |  1.0 |    28 |   MG    |   Y   |     28 | 6.87126
    0   23 |  1.50 |  1.0 |    31 |   MG    |   Y   |     31 | 9.7956
    0   24 |  1.75 |  1.0 |    27 |   MG    |   Y   |     27 | 10.4004
    0   25 |  2.00 |  1.0 |    28 |   MG    |   Y   |     28 | 11.0137
    0   26 |  2.25 |  1.0 |    29 |   MG    |   Y   |     29 | 12.1493
    0   27 |  2.50 |  1.0 |    27 |   MG    |   Y   |     27 | 13.3584
    0   28 |  2.75 |  1.0 |    30 |   MG    |   Y   |     30 | 14.0589
    0   29 |  3.00 |  1.0 |    29 |   MG    |   Y   |     29 | 14.1415
    0   30 |  3.25 |  1.0 |    24 |   MG    |   Y   |     24 | 13.7618
    0   31 |  3.50 |  1.0 |    22 |   MG    |   Y   |     22 | 13.2755
    0   32 |  3.75 |  1.0 |    23 |   MG    |   Y   |     23 | 12.8745
    0   33 |  4.00 |  1.0 |    22 |   MG    |   Y   |     22 | 12.7813
    0   34 |  4.00 |  1.0 |    22 |   MG    |   Y   |     22 | 11.9851
    0   35 |  4.00 |  1.0 |    22 |   MG    |   Y   |     22 | 11.4694
    0   36 |  4.00 |  1.0 |    22 |   MG    |   Y   |     22 | 11.1762
    0   37 |  4.00 |  1.0 |    22 |   MG    |   Y   |     22 | 11.0052
    0   38 |  4.00 |  1.0 |    24 |   MG    |   Y   |     24 | 10.8847
    0   39 |  4.00 |  1.0 |    25 |   MG    |   Y   |     25 | 10.8036
    0   40 |  4.00 |  1.0 |    31 |   MG    |   Y   |     31 | 10.7493
    1    1 |  1.00 |  0.0 |    45 |   MG    |   Y   |     45 | 16.073
    1    2 |  1.25 |  0.0 |    58 |   MG    |   Y   |     58 | 190.249
    1    3 |  1.50 |  0.0 |   116 |   MG    |   Y   |    116 | 825.359
    1    4 |  1.75 |  0.0 |   124 |   MG    |   Y   |    124 | 75823.2
    1    5 |  2.00 |  0.0 |    67 |   MG    |   Y   |     67 | 47984.4
    1    6 |  2.25 |  0.0 |   239 |   Jc    |   Y   |    300 | 2.69528e+06
    1    7 |  2.50 |  0.0 |    54 |   MG    |   Y   |     54 | 1.89127e+06
    1    8 |  2.75 |  0.0 |   113 |   MG    |   Y   |    113 | 213998
    1    9 |  3.00 |  0.0 |    66 |   MG    |   Y   |     66 | 4.10831e+07
    1   10 |  3.25 |  0.0 |   206 |   MG    |   Y   |    206 | 7.78645e+06
    1   11 |  3.50 |  0.0 |    59 |   MG    |   Y   |     59 | 7.11326e+08
    1   12 |  3.75 |  0.0 |   214 |   MG    |   Y   |    214 | 1.81077e+07
    1   13 |  4.00 |  0.0 |   107 |   MG    |   Y   |    107 | 1.86121e+07
    1   14 |  4.00 |  0.0 |   144 |   MG    |   Y   |    144 | 689273
    1   15 |  4.00 |  0.0 |    40 |   MG    |   Y   |     40 | 118744
    1   16 |  4.00 |  0.0 |    45 |   MG    |   Y   |     45 | 32941.6
    1   17 |  4.00 |  0.0 |    46 |   MG    |   Y   |     46 | 12850.9
    1   18 |  4.00 |  0.0 |    45 |   MG    |   Y   |     45 | 6537.73
    1   19 |  4.00 |  0.0 |    46 |   MG    |   Y   |     46 | 4058.47
    1   20 |  4.00 |  0.0 |    48 |   MG    |   Y   |     48 | 2814.25
    1   21 |  1.00 |  1.0 |    31 |   MG    |   Y   |     31 | 6.97853
    1   22 |  1.25 |  1.0 |    34 |   MG    |   Y   |     34 | 23.0484
    1   23 |  1.50 |  1.0 |    79 |   MG    |   Y   |     79 | 1170.75
    1   24 |  1.75 |  1.0 |   141 |   MG    |   Y   |    141 | 10814
    1   25 |  2.00 |  1.0 |   109 |   MG    |   Y   |    109 | 43333
    1   26 |  2.25 |  1.0 |   294 |   MG    |   Y   |    294 | 415081
    1   27 |  2.50 |  1.0 |   120 |   MG    |   Y   |    120 | 625407
    1   28 |  2.75 |  1.0 |   293 |   MG    |   Y   |    293 | 2.01479e+06
    1   29 |  3.00 |  1.0 |   197 |   MG    |   Y   |    197 | 4.316e+06
    1   30 |  3.25 |  1.0 |   101 |   MG    |   Y   |    101 | 1.06278e+06
    1   31 |  3.50 |  1.0 |   159 |   MG    |   Y   |    159 | 255825
    1   32 |  3.75 |  1.0 |    88 |   MG    |   Y   |     88 | 36714.2
    1   33 |  4.00 |  1.0 |    26 |   MG    |   Y   |     26 | 16092.2
    1   34 |  4.00 |  1.0 |    24 |   MG    |   Y   |     24 | 5072.07
    1   35 |  4.00 |  1.0 |    25 |   MG    |   Y   |     25 | 2132.55
    1   36 |  4.00 |  1.0 |    23 |   MG    |   Y   |     23 | 1122.77
    1   37 |  4.00 |  1.0 |    25 |   MG    |   Y   |     25 | 686.84
    1   38 |  4.00 |  1.0 |    23 |   MG    |   Y   |     23 | 453.63
    1   39 |  4.00 |  1.0 |    33 |   MG    |   Y   |     33 | 311.304
    1   40 |  4.00 |  1.0 |    23 |   MG    |   Y   |     23 | 218.68

### S3 Amir-Sigmund 1->3, 1/val — schedule: 1.00x1 1.25x1 1.50x1 1.75x1 2.00x1 2.25x1 2.50x1 2.75x1 3.00x1  (last value HELD past the end)

