fixture,rho_target,rho_lib,N,vpc,state,ci,cj,ck,class,n_solid,cellavg_vm,cell_peak_vm,K_cell,K_far
sandwich,0.10000,0.09505,4,16,shear_xy,1,1,2,interior,488,69.2951,2685.4107,38.753,45.888
sandwich,0.10000,0.09505,4,16,shear_xy,2,1,2,interior,488,69.2950,2685.4012,38.753,45.888
sandwich,0.10000,0.09505,4,16,shear_xy,3,1,2,grip,488,58.4550,2265.9725,38.764,38.721
sandwich,0.10000,0.09505,4,16,shear_xy,0,2,2,grip,488,58.4553,2265.9843,38.764,38.721
sandwich,0.10000,0.09505,4,16,shear_xy,1,2,2,interior,488,69.2947,2685.4037,38.753,45.888
sandwich,0.10000,0.09505,4,16,shear_xy,2,2,2,interior,488,69.2946,2685.3943,38.753,45.888
sandwich,0.10000,0.09505,4,16,shear_xy,3,2,2,grip,488,58.4547,2265.9585,38.764,38.721
sandwich,0.10000,0.09505,4,16,shear_xy,0,3,2,grip,488,56.9567,2658.5375,46.676,45.429
sandwich,0.10000,0.09505,4,16,shear_xy,1,3,2,free_surface,488,35.5233,1617.1158,45.523,27.633
sandwich,0.10000,0.09505,4,16,shear_xy,2,3,2,free_surface,488,35.5230,1617.1171,45.523,27.633
sandwich,0.10000,0.09505,4,16,shear_xy,3,3,2,grip,488,56.9564,2658.5194,46.676,45.429
sandwich,0.10000,0.09505,4,16,shear_xy,0,0,3,grip,488,55.7909,2661.8709,47.712,45.486
sandwich,0.10000,0.09505,4,16,shear_xy,1,0,3,free_surface,488,36.8767,1620.0137,43.931,27.683
sandwich,0.10000,0.09505,4,16,shear_xy,2,0,3,free_surface,488,36.8767,1620.0438,43.931,27.683
sandwich,0.10000,0.09505,4,16,shear_xy,3,0,3,grip,488,55.7907,2661.8461,47.711,45.486
sandwich,0.10000,0.09505,4,16,shear_xy,0,1,3,grip,488,57.2357,2244.1483,39.209,38.348
sandwich,0.10000,0.09505,4,16,shear_xy,1,1,3,free_surface,488,70.0754,2718.5124,38.794,46.454
sandwich,0.10000,0.09505,4,16,shear_xy,2,1,3,free_surface,488,70.0755,2718.5277,38.794,46.454
sandwich,0.10000,0.09505,4,16,shear_xy,3,1,3,grip,488,57.2355,2244.1303,39.209,38.348
sandwich,0.10000,0.09505,4,16,shear_xy,0,2,3,grip,488,57.2353,2244.1430,39.209,38.348
sandwich,0.10000,0.09505,4,16,shear_xy,1,2,3,free_surface,488,70.0749,2718.4973,38.794,46.454
