==============================================================================
M3 — THE TOPOLOGY CURVES
==============================================================================

★ PER ARM — the whole run in one row

arm             it  b0 first  b0 last  b0 max  NEW tot  SPLIT tot  viol  revert  chi last  b1 last  cav
-------------------------------------------------------------------------------------------------------
MN_nucleating   60        87       41     518      263       -309    52       0       -89      135    5
MA_holes8       60        87       11     522      152        -72    52       0       -96      109    2
MC_stress       60         8        4       8      256         -2    57       0        -3        7    0
MB_gyr12        60        15       10     166       91        -10    45       0       -37       47    0
MB_gyr20        60        15        6      40       71          6    43       0       -15       21    0
MA_poor12       60       490        9     490      130       -479    53       0       -83       93    1
MA_rich6        60      1268       14    1268      207      -1235    47       0       -40       56    2
MA_phase        60        95       15     525      179        -72    53       0      -110      127    2

★ b0 = void components. NEW = components sharing no voxel with any
  previous void. SPLIT = the rest of the change in b0, i.e. existing void
  fragmenting as solid bridges across it. b1 = tunnels = b0 + b2 - chi.

==============================================================================
MN_nucleating — per iteration
==============================================================================
 it     b0  d(b0)   NEW  SPLIT     chi     b1  cav  viol  rev    compliance
  3      9     -1     1     -1     -18     27    0     2    0  0.0044752935
  4      6     -3     1     -3     -18     24    0     3    0  0.0043150993
  5      4     -2     2      0     -22     26    0     4    0  0.0042355775
  6      4     +0     1      0     -24     28    0     5    0  0.0041208955
  7      2     -2     2     -2     -18     20    0     6    0  0.0040093834
  8      2     +0     0      0     -18     20    0     6    0  0.0039483881
  9      2     +0     0      0     -17     19    0     6    0  0.0038805709
 10      3     +1     0      1     -17     20    0     6    0  0.0037992407
 11      3     +0     1      0     -17     20    0     7    0  0.0037020794
 12      5     +2     0      2     -17     22    0     7    0  0.0036193165
 13      5     +0     3      0     -16     21    0     8    0  0.0035436923
 14      4     -1     0     -1     -15     19    0     8    0  0.0034842516
 15      4     +0     1      0     -14     18    0     9    0  0.0034295580
 16      5     +1     1      1     -14     19    0    10    0  0.0033854757
 17      3     -2     1     -2     -14     17    0    11    0  0.0033351331
 18      3     +0     2      0     -14     17    0    12    0  0.0032638840
 19      4     +1     0      1     -14     18    0    12    0  0.0032088927
 20      6     +2     2      3     -14     20    0    13    0  0.0031744412
 21      9     +3     1      3     -16     25    0    14    0  0.0031347242
 22     11     +2     1      2     -14     25    0    15    0  0.0030962458
 23     12     +1     1      2     -12     24    0    16    0  0.0030551752
 24     16     +4     1      4     -10     26    0    17    0  0.0030213790
 25     15     -1     0     -1     -11     26    0    17    0  0.0029847387
 26     11     -4     2     -1     -10     21    0    18    0  0.0029541122
 27     12     +1     0      1      -4     16    0    18    0  0.0029301059
 28     13     +1     1      1      -5     18    0    19    0  0.0029027466
 29     11     -2     1     -2     -11     22    0    20    0  0.0028719148
 30     14     +3     1      3     -12     26    0    21    0  0.0028380004
 31     12     -2     4     -1     -15     27    0    22    0  0.0028182314
 32     13     +1     1      1     -28     41    0    23    0  0.0027944559
 33     13     +0     0      0     -24     37    0    23    0  0.0027731203
 34     15     +2     0      2     -25     40    0    23    0  0.0027520924
 35     16     +1     2      1     -24     40    0    24    0  0.0027279156
 36     14     -2     4     -2     -21     35    0    25    0  0.0027103960
 37     16     +2     2      1     -42     58    0    26    0  0.0026865194
 38     16     +0     0      0     -35     51    0    26    0  0.0026658817
 39     27    +11     1     11     -28     59    4    27    0  0.0026466698
 40     28     +1     0      1      -6     38    4    27    0  0.0026286850
 41     26     -2     1     -1       0     28    2    28    0  0.0026149387
 42     27     +1     3      3       6     25    4    29    0  0.0026039269
 43     30     +3     0      3      10     24    4    29    0  0.0025929527
 44     30     +0     3      1       3     28    1    30    0  0.0025844569
 45     40    +10     0     10       0     44    4    30    0  0.0025765274
 46     21    -19     2    -18       6     17    2    31    0  0.0025683426
 47     19     -2     1     -2      -5     26    2    32    0  0.0025637612
 48     22     +3     0      3      -5     29    2    32    0  0.0025597782
 49     18     -4     1     -4      -4     24    2    33    0  0.0025573496
 50     13     -5     1     -5      -5     18    0    34    0  0.0025539766
 51      9     -4     2     -4      -9     18    0    35    0  0.0025518713
 52      8     -1     3     -1      -8     16    0    36    0  0.0025500192
 53      9     +1     1      1     -10     19    0    37    0  0.0025485351
 54     10     +1     2      1     -11     21    0    38    0  0.0025459464
 55      9     -1     2     -2      -9     18    0    39    0  0.0025447164
 56      8     -1     2     -1      -5     13    0    40    0  0.0025456403
 57      8     +0     1      0     -10     18    0    41    0  0.0025447311
 58      8     +0     2      0     -11     19    0    42    0  0.0025429883
 59      5     -3     2     -2     -18     23    0    43    0  0.0025421901
