iteration,compliance,occupancy_volume,printed_voxels,achieved_vf,offset_mm,dt_mm_per_unit_v,max_abs_v,lambda,cg_iterations,converged,used_multigrid,solve_ms,sensitivity_ms,band_cells,hilb_iterations,hilb_relres,reinit_rms,reinit_max,hj_steps,gamma,kappa_rms,perim_weight,interface_area_mm2,robust_worst,robust_ratio,nuc_frozen,diffusion_energy,diffusion_ratio,iteration_wall_s
49,0.00252688482742,75415,75415,0.680002524706,0.00153114364977,0.0483362901927,5.6332104797e-12,5.85907748526e-12,3052,1,0,33673.8917079,13.670416832,18518,0,0,0.251911463013,0.998241356263,0,0.1,0,0,24381.5148829,1,1,0,109537.100062,0.3,33.9319043751
50,0.00252655453142,75414,75414,0.679993507899,-0.000401636324681,0.0483362901927,6.43403172633e-12,5.87846384409e-12,3047,1,0,33953.8555002,14.469291687,18770,0,0,0.213626756962,0.99965176764,0,0.1,0,0,24325.2606916,1,1,0,105162.023171,0.3,53.5333641251
51,0.00252801835097,75415,75415,0.680002524706,-0.00451933074467,0.0483362901927,1.00832558223e-11,5.99059248449e-12,2971,1,0,32403.6100411,14.429833889,17605,0,0,0.208161721604,0.99965176764,0,0.1,0,0,24026.2728759,1,1,0,122564.632627,0.3,32.7239922499
52,0.00252663390868,75414,75414,0.679993507899,-0.00107939588285,0.0483362901927,6.31038397023e-12,5.90458186165e-12,3019,1,0,32633.1119161,13.451458931,17994,0,0,0.208310607648,0.993089315974,0,0.1,0,0,24211.2709071,1,1,0,118147.12917,0.3,32.8841775004
53,0.00252664041646,75415,75415,0.680002524706,0.00246175321027,0.0483362901927,6.38615894117e-12,5.83230568024e-12,3027,1,0,35583.004333,17.4894170761,18371,0,0,0.212963545884,0.99965176764,0,0.1,0,0,24368.2500391,1,1,0,113971.936624,0.3,35.8863880835
54,0.00252576799212,75414,75414,0.679993507899,-0.0017110189567,0.0483362901927,6.4009704643e-12,5.83488634144e-12,3045,1,0,35989.1139998,13.1612081528,18598,0,0,0.212522619151,0.99965176764,0,0.1,0,0,24345.0028354,1,1,0,109531.802775,0.3,36.2611839999
55,0.0025259464829,75414,75414,0.679993507899,0.00193617510193,0.0483362901927,5.87030003561e-12,5.8014907702e-12,3083,1,0,33605.036458,13.8635001183,18921,0,0,0.191409332887,0.988112294738,0,0.1,0,0,24435.1513315,1,1,0,105509.852386,0.3,52.0933093331
56,0.00252676960076,75414,75414,0.679993507899,-0.00840043517401,0.0483362901927,8.23032039565e-12,5.98381776293e-12,2999,1,0,32760.0454593,15.3087906837,17676,0,0,0.194257694771,0.981161987145,0,0.1,0,0,23957.3098018,1,1,0,122280.057916,0.3,33.085051083
57,0.00252659520687,75414,75414,0.679993507899,0.00317229613953,0.0483362901927,5.61974401049e-12,5.87007717946e-12,3081,1,0,36217.9990001,15.2128329277,18232,0,0,0.1942638717,0.979854331006,0,0.1,0,0,24279.9671336,1,1,0,118117.585363,0.3,36.5168645829
58,0.00252533126319,75414,75414,0.679993507899,-0.00103132408569,0.0483362901927,6.16432423491e-12,5.79663709863e-12,3057,1,0,37186.2827921,16.8538746834,18446,0,0,0.197110967071,0.979889825087,0,0.1,0,0,24313.902284,1,1,0,113627.758364,0.3,37.4691284588
59,0.00252515541713,75414,75414,0.679993507899,0.00110153750204,0.0483362901927,5.32260066903e-12,5.76156319451e-12,3070,1,0,33672.3146253,13.7554168701,18827,0,0,0.198562324738,0.979854331006,0,0.1,0,0,24407.249186,1,1,0,109490.926317,0.3,33.9748013341
60,0.0025243708802,75415,75415,0.680002524706,-0.00196281087146,0.0483362901927,5.90936210942e-12,5.7941325894e-12,3102,1,0,33804.5566669,13.8587498665,18981,0,0,0.196439407171,0.98724052037,0,0.1,0,0,24317.9601233,1,1,0,105175.015012,0.3,52.5170872919
