frame,azimuth_deg,id,anchor_x,anchor_y,center_x,center_y,leader,hidden
96,109.80,c1,680.69,329.74,678.90,329.23,0,0
96,109.80,c2,539.97,494.79,540.10,495.82,0,0
96,109.80,c3,719.23,460.66,718.48,459.54,0,0
97,110.47,c0,560.58,403.26,562.85,403.90,0,0
97,110.47,c1,681.64,330.04,679.86,329.51,0,0
97,110.47,c2,539.93,494.24,540.04,495.27,0,0
97,110.47,c3,719.60,461.27,718.88,460.15,0,0
98,111.15,c0,559.39,402.90,561.64,403.55,0,0
98,111.15,c1,682.58,330.33,680.81,329.80,0,0
98,111.15,c2,539.90,493.68,539.99,494.71,0,0
98,111.15,c3,719.96,461.88,719.25,460.75,0,0
99,111.82,c0,558.21,402.53,560.44,403.19,0,0
99,111.82,c1,683.52,330.63,681.76,330.09,0,0
99,111.82,c2,539.88,493.13,539.95,494.16,0,0
99,111.82,c3,720.30,462.50,719.62,461.37,0,0
100,112.50,c0,557.05,402.15,559.25,402.83,0,0
100,112.50,c1,684.45,330.94,682.70,330.39,0,0
100,112.50,c2,539.87,492.57,539.92,493.60,0,0
100,112.50,c3,720.63,463.12,719.97,461.98,0,0
101,113.17,c0,555.89,401.77,558.08,402.46,0,0
101,113.17,c1,685.37,331.25,683.63,330.69,0,0
101,113.17,c2,539.88,492.02,539.91,493.05,0,0
101,113.17,c3,720.95,463.74,720.31,462.60,0,0
102,113.85,c0,554.75,401.38,556.91,402.08,0,0
102,113.85,c1,686.29,331.57,684.56,331.00,0,0
102,113.85,c2,539.90,491.47,539.91,492.50,0,0
102,113.85,c3,721.25,464.37,720.64,463.22,0,0
103,114.52,c0,553.62,400.99,555.76,401.70,0,0
103,114.52,c1,687.19,331.89,685.48,331.31,0,0
103,114.52,c2,539.93,490.92,539.91,491.94,0,0
103,114.52,c3,721.54,464.99,720.96,463.84,0,0
104,115.20,c0,552.50,400.59,554.62,401.31,0,0
104,115.20,c1,688.10,332.21,686.40,331.62,0,0
104,115.20,c2,539.97,490.37,539.93,491.39,0,0
104,115.20,c3,721.82,465.62,721.26,464.46,0,0
105,115.87,c0,551.39,400.18,553.49,400.92,0,0
105,115.87,c1,688.99,332.54,687.30,331.95,0,0
105,115.87,c2,540.02,489.82,539.96,490.84,0,0
105,115.87,c3,722.09,466.26,721.55,465.09,0,0
106,116.55,c0,550.29,399.77,552.37,400.51,0,0
106,116.55,c1,689.88,332.88,688.20,332.27,0,0
106,116.55,c2,540.08,489.27,540.01,490.29,0,0
106,116.55,c3,722.34,466.89,721.83,465.72,0,0
107,117.22,c0,549.21,399.35,551.26,400.11,0,0
107,117.22,c1,690.75,333.21,689.10,332.60,0,0
107,117.22,c2,540.16,488.72,540.06,489.74,0,0
107,117.22,c3,722.58,467.53,722.09,466.35,0,0
108,117.90,c0,548.14,398.93,550.17,399.69,0,0
108,117.90,c1,691.63,333.56,689.98,332.94,0,0
108,117.90,c2,540.25,488.17,540.12,489.19,0,0
108,117.90,c3,722.81,468.17,722.34,466.99,0,0
109,118.58,c0,547.08,398.50,549.09,399.28,0,0
109,118.58,c1,692.49,333.91,690.86,333.28,0,0
109,118.58,c2,540.34,487.62,540.20,488.64,0,0
109,118.58,c3,723.02,468.81,722.58,467.62,0,0
110,119.25,c0,546.04,398.06,548.02,398.85,0,0
110,119.25,c1,693.35,334.26,691.73,333.62,0,0
110,119.25,c2,540.45,487.08,540.29,488.09,0,0
110,119.25,c3,723.22,469.45,722.81,468.26,0,0
111,119.93,c0,545.01,397.62,546.97,398.42,0,0
111,119.93,c1,694.19,334.62,692.59,333.97,0,0
111,119.93,c2,540.57,486.53,540.39,487.55,0,0
111,119.93,c3,723.41,470.09,723.02,468.90,0,0
112,120.60,c0,543.99,397.17,545.92,397.98,0,0
112,120.60,c1,695.03,334.98,693.45,334.32,0,0
112,120.60,c2,540.70,485.99,540.50,487.00,0,0
112,120.60,c3,723.58,470.74,723.22,469.55,0,0
113,121.28,c0,542.99,396.72,544.90,397.54,0,0
113,121.28,c1,695.87,335.35,694.29,334.68,0,0
113,121.28,c2,540.85,485.45,540.62,486.46,0,0
113,121.28,c3,723.74,471.39,723.40,470.19,0,0
114,121.95,c0,541.99,396.26,543.88,397.09,0,0
114,121.95,c1,696.69,335.72,695.13,335.04,0,0
114,121.95,c2,541.00,484.91,540.75,485.92,0,0
114,121.95,c3,723.89,472.04,723.57,470.84,0,0
115,122.63,c0,541.02,395.80,542.88,396.64,0,0
115,122.63,c1,697.50,336.09,695.96,335.41,0,0
115,122.63,c2,541.17,484.37,540.90,485.37,0,0
115,122.63,c3,724.02,472.69,723.73,471.48,0,0
116,123.30,c0,540.05,395.33,541.89,396.18,0,0
116,123.30,c1,698.31,336.47,696.78,335.78,0,0
116,123.30,c2,541.34,483.83,541.05,484.83,0,0
116,123.30,c3,724.14,473.34,723.87,472.13,0,0
117,123.98,c0,539.11,394.86,540.92,395.72,0,0
117,123.98,c1,699.11,336.86,697.60,336.16,0,0
117,123.98,c2,541.53,483.30,541.22,484.30,0,0
117,123.98,c3,724.25,474.00,724.00,472.79,0,0
118,124.65,c0,538.17,394.38,539.95,395.25,0,0
118,124.65,c1,699.90,337.25,698.40,336.54,0,0
118,124.65,c2,541.73,482.76,541.40,483.76,0,0
