cg_tol,rung,iter,compliance,change_design,max_dphys,mean_dphys,class_frac,class_count,solid,cg_iters,mg_used,hier_built,mg_levels,cycles,active_frac,beta,plateau,infeasible,vf
1e-08,0,191,1.8604222,0.043642,0.0163028,0.000459104,0,0,4056,247,1,1,3,247,0.5015,32,0,0,0.11161
1e-08,0,192,1.8604213,0.0481702,0.0169902,0.000380418,0,0,4056,245,1,1,3,245,0.5015,32,0,0,0.11179
1e-08,0,193,1.8604202,0.04995,0.0182918,0.00036509,0,0,4056,262,1,1,3,262,0.5015,32,0,0,0.11198
1e-08,0,194,1.8604195,0.04995,0.0175611,0.000340536,0,0,4056,265,1,1,3,265,0.5015,32,1,0,0.11217
1e-08,1,1,1128.9499,0.1998,-1,-1,-1,-1,4056,147,1,1,3,147,1.0000,0,0,0,0.05382
1e-08,1,2,529.25118,0.1998,0.1998,0.0493314,0,0,4056,113,1,1,3,113,0.7101,0,0,0,0.05403
1e-08,1,3,186.51549,0.1998,0.1998,0.037753,0,0,4056,119,1,1,3,119,0.6938,0,0,0,0.05246
1e-08,1,4,96.227203,0.1998,0.198385,0.0214936,0,0,4056,102,1,1,3,102,0.6553,0,0,0,0.06178
1e-08,1,5,32.719537,0.1998,0.15356,0.0106516,0.00788955,32,4056,89,1,1,3,89,0.6553,0,0,0,0.07118
1e-08,1,6,19.272791,0.1998,0.132201,0.00475916,0.00443787,18,4056,85,1,1,3,85,0.6243,0,0,0,0.07413
1e-08,1,7,15.707257,0.112595,0.0684698,0.00376824,0.00345168,14,4056,86,1,1,3,86,0.6228,0,0,0,0.07457
1e-08,1,8,14.266199,0.108129,0.0701133,0.00387025,0.00443787,18,4056,89,1,1,3,89,0.6213,0,0,0,0.07456
