rung,iter,wall_ms,compliance,achieved_vf,plateau,cg_iters,cg_multigrid,beta,hier_built,mg_cycles_attempted,infeasible,recycle_dim,active_fraction,total_ms,tail_prev_ms,filter_ms,project_ms,solve_ms,fea_ms,sens_ms,update_ms,analysis_ms,observe_ms,residual_ms,solver_build_ms,mg_build_ms,mg_ms,cg_ms,geneo_setup_ms,geneo_apply_ms,recycle_ms,fea_solves,matvecs,geneo_dim,geneo_action,rss_mb,peak_rss_mb,compressed_mb,available_mb,major_faults,swapins
1,11,1785564117669,3.513373319e-05,0.497998,0,50,1,0,1,50,0,0,1.000000,312.586,0.002,0.470,0.020,307.850,305.978,1.871,4.044,0.159,0.010,0.034,1.546,108.288,195.881,0.000,0.000,0.000,0.000,1,200,0,0,104.00,128.81,0.00,4804.88,521,0
1,12,1785564117975,3.488229714e-05,0.498148,0,51,1,0,1,51,0,0,1.000000,305.610,0.002,0.474,0.020,300.880,298.987,1.891,4.032,0.156,0.012,0.036,1.549,103.848,193.329,0.000,0.000,0.000,0.000,1,204,0,0,104.00,128.81,0.00,4729.69,521,0
1,13,1785564118272,3.474068752e-05,0.498303,0,53,1,0,1,53,0,0,1.000000,297.014,0.002,0.478,0.020,292.300,290.454,1.846,4.015,0.156,0.013,0.033,1.594,101.935,186.681,0.000,0.000,0.000,0.000,1,212,0,0,104.00,128.81,0.00,4694.38,521,0
1,14,1785564118593,3.454546239e-05,0.498636,0,53,1,0,1,53,0,0,1.000000,321.741,0.002,0.514,0.020,316.368,314.252,2.114,4.606,0.175,0.014,0.044,1.529,101.450,211.025,0.000,0.000,0.000,0.000,1,212,0,0,104.00,128.81,0.00,4711.69,521,0
1,15,1785564118911,3.439249105e-05,0.498921,0,54,1,0,1,54,0,0,1.000000,317.943,0.005,0.565,0.023,313.119,311.269,1.850,4.035,0.156,0.011,0.033,1.764,108.444,200.776,0.000,0.000,0.000,0.000,1,216,0,0,104.00,128.81,0.00,4800.62,521,0
1,16,1785564119234,3.417665474e-05,0.499085,0,55,1,0,1,55,0,0,1.000000,322.112,0.002,0.467,0.020,317.290,315.382,1.908,4.137,0.156,0.010,0.032,1.580,109.068,204.481,0.000,0.000,0.000,0.000,1,220,0,0,104.00,128.81,0.00,4867.39,521,0
1,17,1785564119552,3.402395911e-05,0.499209,0,56,1,0,1,56,0,0,1.000000,317.805,0.002,0.464,0.020,313.150,311.200,1.948,3.957,0.157,0.010,0.047,1.686,104.240,205.011,0.000,0.000,0.000,0.000,1,224,0,0,104.00,128.81,0.00,4862.16,521,0
1,18,1785564119876,7.688067991e-05,0.499897,0,57,1,0,1,57,0,0,1.000000,324.220,0.002,0.475,0.020,319.548,317.662,1.885,3.974,0.156,0.015,0.033,1.547,103.698,212.151,0.000,0.000,0.000,0.000,1,228,0,0,104.00,128.81,0.00,4771.06,521,0
1,19,1785564120211,3.385692923e-05,0.499236,0,57,1,0,1,57,0,0,1.000000,334.989,0.002,0.483,0.020,330.448,328.579,1.869,3.836,0.156,0.010,0.035,1.537,102.615,224.179,0.000,0.000,0.000,0.000,1,228,0,0,104.00,128.81,0.00,4314.69,521,0
1,20,1785564120526,7.835322396e-05,0.499555,0,58,1,0,1,58,0,0,1.000000,315.096,0.002,0.486,0.020,310.298,308.444,1.853,4.093,0.156,0.011,0.033,1.541,101.318,205.320,0.000,0.000,0.000,0.000,1,232,0,0,104.00,128.81,0.00,4383.42,521,0
1,21,1785564120856,3.37820723e-05,0.499181,0,58,1,0,1,58,0,0,1.000000,329.624,0.002,0.502,0.020,324.709,322.848,1.861,4.184,0.164,0.010,0.034,1.532,101.219,219.849,0.000,0.000,0.000,0.000,1,232,0,0,104.00,128.81,0.00,4341.55,521,0
1,22,1785564121189,3.381903935e-05,0.498229,0,59,1,0,1,59,0,0,1.000000,333.080,0.002,0.482,0.020,328.203,326.339,1.863,4.166,0.166,0.010,0.033,1.642,101.964,222.494,0.000,0.000,0.000,0.000,1,236,0,0,104.00,128.81,0.00,4343.22,521,0
1,23,1785564121520,3.370676293e-05,0.499144,0,60,1,0,1,60,0,0,1.000000,330.932,0.002,0.481,0.021,326.212,324.374,1.837,4.018,0.157,0.012,0.033,1.597,107.154,215.358,0.000,0.000,0.000,0.000,1,240,0,0,104.00,128.81,0.00,4515.83,521,0
1,24,1785564121858,3.356648962e-05,0.499499,0,62,1,0,1,62,0,0,1.000000,337.731,0.002,0.476,0.020,333.095,331.090,2.004,3.936,0.161,0.009,0.033,1.561,101.435,227.852,0.000,0.000,0.000,0.000,1,248,0,0,104.00,128.81,0.00,4658.09,521,0
1,25,1785564122204,3.34745751e-05,0.499590,0,63,1,0,1,63,0,0,1.000000,346.323,0.004,0.475,0.020,341.466,339.621,1.845,4.165,0.156,0.008,0.033,1.612,101.582,236.178,0.000,0.000,0.000,0.000,1,252,0,0,104.00,128.81,0.00,4740.05,521,0
1,26,1785564122558,3.341320636e-05,0.499589,0,64,1,0,1,64,0,0,1.000000,354.271,0.003,0.498,0.020,349.286,347.415,1.870,4.266,0.161,0.009,0.033,1.548,102.659,242.965,0.000,0.000,0.000,0.000,1,256,0,0,104.00,128.81,0.00,4780.20,521,0
