iteration,compliance,occupancy_volume,printed_voxels,achieved_vf,offset_mm,dt_mm_per_unit_v,max_abs_v,lambda,cg_iterations,converged,used_multigrid,solve_ms,sensitivity_ms,band_cells,hilb_iterations,hilb_relres,reinit_rms,reinit_max,hj_steps,gamma,kappa_rms,perim_weight,interface_area_mm2,robust_worst,robust_ratio,nuc_frozen,diffusion_energy,diffusion_ratio,void_components,euler_chi,cavities,tunnels,mono_violations,mono_reverts,mono_repaired_voxels,new_components,split_delta,renuc_events,renuc_voxels,sealed_pockets_manuf,sealed_voxels_manuf,sealed_mm3_manuf,frac_cut_cells,frac_area_mm2,frac_build_ms,frac_sens_ms,iteration_wall_s
56,0.00238795371988,88424,88424,0.797302171247,0.00612390568372,0.0483362901927,1.82974709048e-12,1.62997057147e-12,2416,1,0,17303.1721659,12.3906669617,8620,0,0,0.185882039659,0.99320560079,0,0.1,0,0,12644.4947132,0,1.00140621703,0,0,0,26,20,0,6,20,0,0,0,-2,0,0,16,2152,10671.5825907,0,0,0,0,55.7788259578
57,0.00238760563652,88423,88423,0.79729315444,-0.00291044206997,0.0483362901927,1.39583556675e-12,1.59584522912e-12,2409,1,0,20960.1178341,13.117790699,8224,0,0,0.188817586296,0.99320560079,0,0.1,0,0,12626.7508439,0,1.00132388481,0,0,0,26,19,0,7,20,0,0,0,0,0,0,15,2195,10884.815886,0,0,0,0,57.6778517081
58,0.00238743972107,88424,88424,0.797302171247,0.000218286792442,0.0483362901927,1.1661459186e-12,1.58967421715e-12,2414,1,0,18845.6955843,13.4152078629,7851,0,0,0.191975812596,0.99320560079,0,0.1,0,0,12618.7784052,0,1.00126468659,0,0,0,28,21,0,7,21,0,0,2,0,0,0,16,2177,10795.5554368,0,0,0,0,55.3482637499
59,0.00238724361065,88424,88424,0.797302171247,-0.00111579334024,0.0483362901927,1.49004062077e-12,1.57251556881e-12,2415,1,0,21733.999125,15.0233330727,7528,0,0,0.195781478159,0.99320560079,0,0.1,0,0,12639.2242916,0,1.00120801331,0,0,0,28,21,0,7,21,0,0,0,0,0,0,16,2213,10974.0763351,0,0,0,0,58.7842297498
60,0.00238699354093,88423,88423,0.79729315444,-0.00227448742973,0.0483362901927,1.55788145332e-12,1.56402160225e-12,2417,1,0,18503.2779169,14.5501251221,7326,0,0,0.18456329518,0.990694248142,0,0.1,0,0,12568.159229,0,1.00115353093,0,0,0,28,21,0,7,21,0,0,0,0,0,0,16,2184,10830.2678337,0,0,0,0,69.2994310409
61,0.00238747158946,88424,88424,0.797302171247,0.00152121553424,0.0483362901927,1.84384715586e-12,1.60488950423e-12,2416,1,0,19557.7026253,15.4495830536,8624,0,0,0.1865765768,0.990694248142,0,0.1,0,0,12679.5414019,0,1.00138562562,0,0,0,26,20,0,6,21,0,0,0,-2,0,0,15,2194,10879.8569721,0,0,0,0,52.9206739594
62,0.00238746558253,88423,88423,0.79729315444,0.00339800295127,0.0483362901927,1.47519379759e-12,1.60082067768e-12,2417,1,0,22818.2568331,14.6199588776,8280,0,0,0.189297139431,0.990694248142,0,0.1,0,0,12642.040304,0,1.00132686404,0,0,0,29,20,0,9,22,0,0,2,1,0,0,18,2193,10874.8980583,0,0,0,0,67.8104022499
63,0.00238720601338,88424,88424,0.797302171247,-0.00167209742327,0.0483362901927,1.25512480021e-12,1.57938960685e-12,2416,1,0,16066.1546249,16.235959053,7870,0,0,0.192707438188,0.990694248142,0,0.1,0,0,12668.6107151,0,1.00125747037,0,0,0,29,19,0,10,22,0,0,0,0,0,0,18,2216,10988.9530767,0,0,0,0,53.4741684161
64,0.00238707133097,88423,88423,0.79729315444,-0.000283890802185,0.0483362901927,1.59127322985e-12,1.57397347061e-12,2420,1,0,20792.6573339,13.4750828743,7588,0,0,0.19636794713,0.990694248142,0,0.1,0,0,12639.1883869,0,1.00120783588,0,0,0,28,21,0,7,22,0,0,0,-1,0,0,17,2209,10954.2406798,0,0,0,0,63.7932350002
65,0.00238679426001,88424,88424,0.797302171247,-0.00281912374062,0.0483362901927,1.58408554339e-12,1.55347883291e-12,2421,1,0,24178.5117083,13.3112916946,7286,0,0,0.184688926038,0.993245872519,0,0.1,0,0,12628.5589832,0,1.00114981637,0,0,0,28,18,0,10,22,0,0,0,0,0,0,17,2212,10969.1174213,0,0,0,0,89.1929927086
66,0.00238741744898,88423,88423,0.79729315444,0.00369734763088,0.0483362901927,1.7399317557e-12,1.61693543929e-12,2425,1,0,23175.3586249,17.149459362,8643,0,0,0.186655005431,0.993245872519,0,0.1,0,0,12678.4355259,0,1.00139425517,0,0,0,27,21,0,6,22,0,0,0,-1,0,0,16,2186,10840.1856614,0,0,0,0,67.5536674168
67,0.00238727853008,88423,88423,0.79729315444,0.00126265651169,0.0483362901927,1.51633069727e-12,1.59506731641e-12,2418,1,0,24199.1231661,14.743792057,8273,0,0,0.189416359359,0.993245872519,0,0.1,0,0,12689.7936895,0,1.00132271796,0,0,0,29,20,0,9,22,0,0,0,2,0,0,18,2220,11008.788732,0,0,0,0,63.525776125
